fechas,hora,latitud,longitud
2011-05-03,18:06:07,16.128654,-22.932329
2011-05-04,00:00:00,16.14235,-22.968767
2011-05-04,00:00:00,16.154133,-22.9498
2011-05-04,00:00:00,16.192883,-22.935833
2011-05-04,00:00:00,16.133367,-22.951333
2011-05-08,00:00:00,16.1436,-22.959333
2011-05-08,09:50:52,16.128654,-22.932329
2011-05-08,13:44,37.62088333,-25.57728333
2011-05-08,00:00:00,16.127,-22.9362
2011-05-08,13:44,37.62088333,-25.57728333
2011-05-08,13:44,37.62088333,-25.57728333
2011-05-09,00:00:00,16.0894,-22.978567
2011-05-09,00:00:00,16.1909,-22.92575
2011-05-10,10:35:51,16.128654,-22.932329
2011-05-10,00:00:00,16.157483,-22.952417
2011-05-10,00:00:00,16.137117,-22.9375
2011-05-10,00:00:00,16.14305,-22.95055
2011-05-11,11:56:16,16.179164,-22.998959
2011-05-11,00:00:00,16.159783,-22.944917
2011-05-12,13:11:06,16.15278,-22.976652
2011-05-13,00:00:00,16.119267,-22.979617
2011-05-13,00:00:00,16.151367,-22.957
2011-05-13,00:00:00,16.161617,-22.953883
2011-05-14,00:00:00,16.15445,-22.9543
2011-05-14,00:00:00,16.1071,-22.972817
2011-05-14,12:01:56,16.128654,-22.932329
2011-05-14,00:00:00,16.0319,-22.98495
2011-05-14,00:00:00,16.118167,-22.968817
2011-05-14,13:28:07,16.187032,-22.998254
2011-05-14,12:52:22,16.128654,-22.932329
2011-05-15,00:00:00,16.114567,-22.931317
2011-05-15,00:00:00,16.089733,-22.9883
2011-05-15,NA,16.128654,-22.932329
2011-05-15,NA,16.128654,-22.932329
2011-05-15,NA,16.128654,-22.932329
2011-05-15,NA,16.128654,-22.932329
2011-05-17,00:00:00,16.128917,-22.9495
2011-05-17,00:00:00,16.10605,-22.9649
2011-05-17,00:00:00,16.1372,-22.94995
2011-05-22,10:28,37.7002,-25.3671
2011-05-22,13:20:00,37.6881,-25.6349
2011-05-22,13:20:00,37.6881,-25.6349
2011-05-22,09:21:00,37.7002,-25.3671
