fechas,hora,latitud,longitud
2010-06-01,NA,38.26373333,-28.88201667
2010-07-15,NA,37.174,-24.21508333
2010-07-16,NA,37.01601667,-24.27043333
2010-07-18,NA,36.39713333,-24.5027
2011-06-04,NA,38.91811667,-29.22416667
2011-06-05,NA,37.6645,-28.67718333
2011-06-12,NA,39.03065,-27.56006667
2011-07-24,NA,38.7987,-29.6963
2011-07-27,NA,38.501158,-27.950003
2011-07-27,NA,38.505897,-27.948206
2012-04-29,14:09:00,37.5836,-25.5841
2012-04-29,14:09:00,37.5836,-25.5841
2012-04-29,14:09:00,37.5836,-25.5841
2012-04-29,11:50,37.58192222,-25.55909444
2012-04-29,11:50,37.58192222,-25.55909444
2012-04-29,11:50,37.58192222,-25.55909444
2012-04-29,15:06,37.61085,-25.612425
2012-04-29,11:14:00,37.5613,-25.5437
2012-04-29,14:09:00,37.5836,-25.5841
2012-04-29,11:50,37.58192222,-25.55909444
2012-04-29,15:06,37.61085,-25.612425
2012-04-30,15:31:00,37.6704,-25.7849
2012-05-01,09:04:00,37.6508,-25.4674
2012-05-01,09:04:00,37.6508,-25.4674
2012-05-01,10:23,37.66555833,-25.45688333
2012-05-01,09:35:00,37.6509,-25.4672
2012-05-01,09:35:00,37.6509,-25.4672
2012-05-01,09:48:00,37.6633,-25.4732
2012-05-01,09:04:00,37.6508,-25.4674
2012-05-01,09:35:00,37.6509,-25.4672
2012-05-01,09:04:00,37.6508,-25.4674
2012-05-01,10:23,37.66555833,-25.45688333
2012-05-01,09:35:00,37.6509,-25.4672
2012-06-29,NA,38.90983333,-28.52428333
2012-07-13,NA,37.78626667,-30.11883333
2013-01-08,09:45,37.60888889,-25.53888889
2013-01-08,09:45,37.60888889,-25.53888889
2013-03-10,14:55,37.58938333,-25.40364167
2013-03-10,14:55,37.58938333,-25.40364167
2013-03-19,10:19:00,37.7457,-25.8036
2013-04-04,09:50,37.66079167,-25.522225
2013-04-04,09:50,37.66079167,-25.522225
2013-04-04,09:40,37.67233333,-25.55076667
2013-04-04,11:30:00,37.6671,-25.4987
2013-04-04,09:40,37.67233333,-25.55076667
2013-04-04,09:50,37.66079167,-25.522225
2013-04-05,14:46,37.68758333,-25.33087778
2013-04-05,14:46,37.68758333,-25.33087778
2013-04-05,15:01:00,37.6885,-25.3237
2013-04-05,14:46,37.68758333,-25.33087778
2013-04-17,13:48,37.682975,-25.44385
2013-04-17,13:48,37.682975,-25.44385
2013-04-17,14:19:00,37.6858,-25.4455
2013-04-17,13:48,37.682975,-25.44385
2013-04-18,09:54,37.68074444,-25.47629444
2013-04-18,09:36:00,37.6722,-25.4385
2013-04-18,09:54,37.68074444,-25.47629444
2013-04-18,09:54,37.68074444,-25.47629444
2013-04-18,09:54,37.68074444,-25.47629444
2013-04-20,10:17,37.77219167,-25.808675
2013-04-23,14:31,37.75625,-25.80936667
2013-04-23,15:25,37.77206667,-25.829775
2013-04-23,15:25,37.77206667,-25.829775
2013-04-23,14:45:00,37.7538,-25.8089
2013-04-23,15:25,37.77206667,-25.829775
2013-04-23,14:31,37.75625,-25.80936667
2013-04-23,10:43,37.83391667,-25.8873
2013-04-30,15:01:00,37.6992,-25.7073
2013-05-03,13:33:00,37.6969,-25.3957
2013-05-03,13:33:00,37.6969,-25.3957
2013-05-03,13:33:00,37.6969,-25.3957
2013-05-03,13:33:00,37.6969,-25.3957
2013-05-08,11:04,37.6975,-25.63285
2013-05-10,10:08,37.649375,-25.62455833
2013-05-10,NA,37.17701667,-25.65781667
2013-05-10,10:08,37.649375,-25.62455833
2013-05-15,14:14,37.77786667,-25.85179167
2013-05-15,10:03,37.72195,-25.79996667
2013-05-15,14:14,37.77786667,-25.85179167
2013-05-15,10:03,37.72195,-25.79996667
2013-05-15,14:14,37.77786667,-25.85179167
2013-05-15,14:14,37.77786667,-25.85179167
2013-05-16,11:03:00,37.6846,-25.6583
2013-05-16,11:09,37.68805833,-25.66543333
2013-05-16,11:09,37.68805833,-25.66543333
2013-05-16,NA,37.68411667,-25.69666667
2013-05-16,11:03:00,37.6846,-25.6583
2013-05-16,11:12,37.690525,-25.64143333
2013-05-16,11:12,37.690525,-25.64143333
2013-05-20,10:14:00,37.6744,-25.2936
2013-05-20,10:14:00,37.6744,-25.2936
2013-05-20,10:14:00,37.6744,-25.2936
2013-05-21,09:32,37.6741,-25.57596667
2013-05-21,11:26,37.69009167,-25.622625
2013-05-21,11:26,37.69009167,-25.622625
2013-05-21,09:32,37.6741,-25.57596667
2013-05-21,10:52:00,37.671,-25.4202
