fechas,hora,latitud,longitud,thetao,so,uo,vo,zos,chl,o2,deptho
2013-04-17,14:19:00,37.6858,-25.4455,[17.07336650043726],[36.11255222931504],[-0.17700735479593277],[-0.011597033590078354],-0.2056947536766529,0.07427296787500381,245.92776489257812,699.5
2013-04-17,13:48,37.682975,-25.44385,[17.07336650043726],[36.11255222931504],[-0.17700735479593277],[-0.011597033590078354],-0.2056947536766529,0.07427296787500381,245.92776489257812,699.5
2013-04-18,09:54,37.68074444,-25.47629444,[17.096804715692997],[36.11255222931504],[-0.13183996081352234],[0.001831110566854477],-0.20538956858217716,0.07427296787500381,245.92776489257812,461.27520751953125
2013-04-18,09:36:00,37.6722,-25.4385,[17.07336650043726],[36.11255222931504],[-0.17700735479593277],[-0.011597033590078354],-0.2056947536766529,0.07427296787500381,245.92776489257812,699.5
2013-04-18,09:54,37.68074444,-25.47629444,[17.096804715692997],[36.11255222931504],[-0.13183996081352234],[0.001831110566854477],-0.20538956858217716,0.07427296787500381,245.92776489257812,461.27520751953125
2013-04-18,09:54,37.68074444,-25.47629444,[17.096804715692997],[36.11255222931504],[-0.13183996081352234],[0.001831110566854477],-0.20538956858217716,0.07427296787500381,245.92776489257812,461.27520751953125
2013-04-18,09:54,37.68074444,-25.47629444,[17.096804715692997],[36.11255222931504],[-0.13183996081352234],[0.001831110566854477],-0.20538956858217716,0.07427296787500381,245.92776489257812,461.27520751953125
2013-04-20,10:17,37.77219167,-25.808675,[17.127567373216152],[36.10187075100839],[-0.08362071588635445],[0.04577776417136192],-0.2023377176374197,0.07068457454442978,245.2237548828125,423.6286926269531
2013-04-23,14:31,37.75625,-25.80936667,[17.127567373216152],[36.10187075100839],[-0.08362071588635445],[0.04577776417136192],-0.2023377176374197,0.07068457454442978,245.2237548828125,423.6286926269531
2013-04-23,15:25,37.77206667,-25.829775,[17.127567373216152],[36.10187075100839],[-0.08362071588635445],[0.04577776417136192],-0.2023377176374197,0.07068457454442978,245.2237548828125,423.6286926269531
2013-04-23,15:25,37.77206667,-25.829775,[17.127567373216152],[36.10187075100839],[-0.08362071588635445],[0.04577776417136192],-0.2023377176374197,0.07068457454442978,245.2237548828125,423.6286926269531
2013-04-23,14:45:00,37.7538,-25.8089,[17.127567373216152],[36.10187075100839],[-0.08362071588635445],[0.04577776417136192],-0.2023377176374197,0.07068457454442978,245.2237548828125,423.6286926269531
2013-04-23,15:25,37.77206667,-25.829775,[17.127567373216152],[36.10187075100839],[-0.08362071588635445],[0.04577776417136192],-0.2023377176374197,0.07068457454442978,245.2237548828125,423.6286926269531
2013-04-23,14:31,37.75625,-25.80936667,[17.127567373216152],[36.10187075100839],[-0.08362071588635445],[0.04577776417136192],-0.2023377176374197,0.07068457454442978,245.2237548828125,423.6286926269531
2013-04-23,10:43,37.83391667,-25.8873,[17.191290020942688],[36.10492260195315],[-0.032959990203380585],[0.08301034569740295],-0.2029480878263712,0.06793191283941269,244.48626708984375,799.782470703125
2013-04-30,15:01:00,37.6992,-25.7073,[17.12683492898941],[36.107974452897906],[-0.08850367739796638],[-0.0012207403779029846],-0.2063051238656044,0.07068457454442978,245.2237548828125,603.1522216796875
2013-05-03,13:33:00,37.6969,-25.3957,[17.07336650043726],[36.11255222931504],[-0.17700735479593277],[-0.011597033590078354],-0.2056947536766529,0.07427296787500381,245.92776489257812,699.5
2013-05-03,13:33:00,37.6969,-25.3957,[17.07336650043726],[36.11255222931504],[-0.17700735479593277],[-0.011597033590078354],-0.2056947536766529,0.07427296787500381,245.92776489257812,699.5
2013-05-03,13:33:00,37.6969,-25.3957,[17.07336650043726],[36.11255222931504],[-0.17700735479593277],[-0.011597033590078354],-0.2056947536766529,0.07427296787500381,245.92776489257812,699.5
2013-05-03,13:33:00,37.6969,-25.3957,[17.07336650043726],[36.11255222931504],[-0.17700735479593277],[-0.011597033590078354],-0.2056947536766529,0.07427296787500381,245.92776489257812,699.5
2013-05-08,11:04,37.6975,-25.63285,[17.12683492898941],[36.107974452897906],[-0.08850367739796638],[-0.0012207403779029846],-0.2063051238656044,0.07068457454442978,245.2237548828125,603.1522216796875
2013-05-10,10:08,37.649375,-25.62455833,[17.104861602187157],[36.111026303842664],[-0.10132145136594772],[-0.001831110566854477],-0.2063051238656044,0.07427296787500381,245.92776489257812,428.7898864746094
2013-05-10,,37.17701667,-25.65781667,[17.47840815782547],[36.17969295009971],[-0.0634784996509552],[0.0555436871945858],-0.20477919839322567,0.060992393642663956,243.4999237060547,838.3925170898438
2013-05-10,10:08,37.649375,-25.62455833,[17.104861602187157],[36.111026303842664],[-0.10132145136594772],[-0.001831110566854477],-0.2063051238656044,0.07427296787500381,245.92776489257812,428.7898864746094
2013-05-15,14:14,37.77786667,-25.85179167,[17.127567373216152],[36.10187075100839],[-0.08362071588635445],[0.04577776417136192],-0.2023377176374197,0.07068457454442978,245.2237548828125,423.6286926269531
2013-05-15,10:03,37.72195,-25.79996667,[17.127567373216152],[36.10187075100839],[-0.08362071588635445],[0.04577776417136192],-0.2023377176374197,0.07068457454442978,245.2237548828125,423.6286926269531
2013-05-15,14:14,37.77786667,-25.85179167,[17.127567373216152],[36.10187075100839],[-0.08362071588635445],[0.04577776417136192],-0.2023377176374197,0.07068457454442978,245.2237548828125,423.6286926269531
2013-05-15,10:03,37.72195,-25.79996667,[17.127567373216152],[36.10187075100839],[-0.08362071588635445],[0.04577776417136192],-0.2023377176374197,0.07068457454442978,245.2237548828125,423.6286926269531
2013-05-15,14:14,37.77786667,-25.85179167,[17.127567373216152],[36.10187075100839],[-0.08362071588635445],[0.04577776417136192],-0.2023377176374197,0.07068457454442978,245.2237548828125,423.6286926269531
2013-05-15,14:14,37.77786667,-25.85179167,[17.127567373216152],[36.10187075100839],[-0.08362071588635445],[0.04577776417136192],-0.2023377176374197,0.07068457454442978,245.2237548828125,423.6286926269531
2013-05-16,11:03:00,37.6846,-25.6583,[17.12683492898941],[36.107974452897906],[-0.08850367739796638],[-0.0012207403779029846],-0.2063051238656044,0.07068457454442978,245.2237548828125,603.1522216796875
2013-05-16,11:09,37.68805833,-25.66543333,[17.12683492898941],[36.107974452897906],[-0.08850367739796638],[-0.0012207403779029846],-0.2063051238656044,0.07068457454442978,245.2237548828125,603.1522216796875
